	Gamma	n	P	alpha	m	l	Re	Im
242	E	1	(0, 0, 2)	1	-1	1	0.7071067811865476	0.0
243	E	1	(0, 0, 2)	1	1	1	0.0	0.7071067811865476
245	E	1	(0, 0, 2)	2	-1	1	0.0	-1.0
248	E	1	(0, 1, 0)	1	-1	1	0.3535533905932738	-0.3535533905932738
249	E	1	(0, 1, 0)	1	0	1	-0.5	0.5
250	E	1	(0, 1, 0)	1	1	1	-0.3535533905932738	0.3535533905932738
254	E	1	(0, 1, 0)	2	-1	1	0.0	-0.5
255	E	1	(0, 1, 0)	2	0	1	0.7071067811865476	0.0
256	E	1	(0, 1, 0)	2	1	1	0.0	0.5
260	E	1	(0, 2, 0)	1	-1	1	0.3535533905932738	-0.3535533905932738
261	E	1	(0, 2, 0)	1	0	1	-0.5	0.5
262	E	1	(0, 2, 0)	1	1	1	-0.3535533905932738	0.3535533905932738
266	E	1	(0, 2, 0)	2	-1	1	0.0	-0.5
267	E	1	(0, 2, 0)	2	0	1	0.7071067811865476	0.0
268	E	1	(0, 2, 0)	2	1	1	0.0	0.5
272	E	1	(1, -1, -1)	1	-1	1	-0.7618016810571367	0.20412414523193148
273	E	1	(1, -1, -1)	1	0	1	-0.5	-0.28867513459481287
274	E	1	(1, -1, -1)	1	1	1	-0.05469489987058923	-0.2041241452319315
278	E	1	(1, -1, -1)	2	-1	1	0.05469489987058923	-0.2041241452319315
279	E	1	(1, -1, -1)	2	0	1	-0.5	0.28867513459481287
280	E	1	(1, -1, -1)	2	1	1	0.7618016810571369	0.2041241452319315
284	E	1	(1, -1, 1)	1	-1	1	-0.14942924536134228	-0.14942924536134228
285	E	1	(1, -1, 1)	1	0	1	0.0	-0.5773502691896257
286	E	1	(1, -1, 1)	1	1	1	0.5576775358252052	-0.5576775358252052
290	E	1	(1, -1, 1)	2	-1	1	-0.5576775358252052	-0.5576775358252052
291	E	1	(1, -1, 1)	2	0	1	0.0	0.5773502691896257
292	E	1	(1, -1, 1)	2	1	1	0.14942924536134228	-0.14942924536134228
296	E	1	(1, 0, 0)	1	-1	1	0.3535533905932738	0.3535533905932738
297	E	1	(1, 0, 0)	1	0	1	-0.5	0.5
298	E	1	(1, 0, 0)	1	1	1	0.3535533905932738	0.3535533905932738
302	E	1	(1, 0, 0)	2	-1	1	0.0	-0.5
303	E	1	(1, 0, 0)	2	0	1	0.0	0.7071067811865476
304	E	1	(1, 0, 0)	2	1	1	0.0	-0.5
308	E	1	(1, 1, -1)	1	-1	1	-0.5576775358252052	0.5576775358252052
309	E	1	(1, 1, -1)	1	0	1	0.0	0.5773502691896257
310	E	1	(1, 1, -1)	1	1	1	0.14942924536134228	0.14942924536134228
314	E	1	(1, 1, -1)	2	-1	1	-0.14942924536134228	0.14942924536134228
315	E	1	(1, 1, -1)	2	0	1	0.0	-0.5773502691896257
316	E	1	(1, 1, -1)	2	1	1	0.5576775358252052	0.5576775358252052
320	E	1	(1, 1, 1)	1	-1	1	-0.14942924536134228	0.14942924536134228
321	E	1	(1, 1, 1)	1	0	1	0.0	0.5773502691896257
322	E	1	(1, 1, 1)	1	1	1	0.5576775358252052	0.5576775358252052
326	E	1	(1, 1, 1)	2	-1	1	0.7618016810571369	0.2041241452319315
327	E	1	(1, 1, 1)	2	0	1	-0.5	0.28867513459481287
328	E	1	(1, 1, 1)	2	1	1	0.05469489987058923	-0.2041241452319315
332	E	1	(2, 0, 0)	1	-1	1	0.3535533905932738	0.3535533905932738
333	E	1	(2, 0, 0)	1	0	1	-0.5	0.5
334	E	1	(2, 0, 0)	1	1	1	0.3535533905932738	0.3535533905932738
338	E	1	(2, 0, 0)	2	-1	1	0.0	-0.5
339	E	1	(2, 0, 0)	2	0	1	0.0	0.7071067811865476
340	E	1	(2, 0, 0)	2	1	1	0.0	-0.5
344	T1u	1	(0, 0, 0)	1	-1	1	0.0	0.7071067811865476
345	T1u	1	(0, 0, 0)	1	1	1	0.0	0.7071067811865476
348	T1u	1	(0, 0, 0)	2	0	1	0.0	1.0
350	T1u	1	(0, 0, 0)	3	-1	1	0.0	-0.7071067811865476
351	T1u	1	(0, 0, 0)	3	1	1	0.0	0.7071067811865476
